																																				Mean						Mean																									
	Constant-rate spraying																	Variable-rate spraying																			Constant-rate spraying		Variable-rate spraying				Constant-rate spraying			Variable-rate spraying				Constant-rate spraying										Variable-rate spraying							
		Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)						Spray Coverage (%)						Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)					Spray Coverage (%)								Spray Deposit (stains cm^-2)	Spray Coverage (%)	Spray Deposit (stains cm^-2)	Spray Coverage (%)				Spray Deposit (μm cm^-2)			Spray Deposit (μm cm^-2)				Spray Deposit (stains cm^-2)					Spray Coverage (%)				Spray Deposit (stains cm^-2)				Spray Coverage (%)			
		P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean			P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean																		P1	P2	P3	P4	P1	P2	P3	P4		P1	P2	P3	P4	P1	P2	P3	P4
	Middle	0.372	0.312	0.302	0.312	0.3245	37	29	37	42	36.25	8.01	8.31	9.09	9.27	8.67		Middle	0.212	0.232	0.152	0.202	0.1995	32	28	27	22	27.25	7.27	7.31	6.31	6.29	6.795			Middle	36.25	8.67	27.25	6.795			Middle	0.3245		Middle	0.1995			Middle	37	29	37	42	8.01	8.31	9.09	9.27		32	28	27	22	7.27	7.31	6.31	6.29
	Left	0.301	0.341	0.351	0.341	0.3335	29	37	31	33	32.5	8.58	7.18	8.58	8.36	8.175		Left	0.182	0.264	0.171	0.251	0.217	33	22	22	29	26.5	6.36	5.18	6.18	5.36	5.77			Left	32.5	8.175	26.5	5.77			Left	0.3335		Left	0.217			Left	29	37	31	33	8.58	7.18	8.58	8.36		33	22	22	29	6.36	5.18	6.18	5.36
	Right	0.391	0.301	0.346	0.301	0.33475	34	28	32	31	31.25	9.99	8.19	8.98	8.89	9.0125		Right	0.203	0.248	0.191	0.241	0.22075	31	35	25	34	31.25	6.11	7.19	6.19	6.89	6.595			Right	31.25	9.0125	31.25	6.595			Right	0.33475		Right	0.22075			Right	34	28	32	31	9.99	8.19	8.98	8.89		31	35	25	34	6.11	7.19	6.19	6.89
	Bottom	0.107	0.141	0.127	0.141	0.129	8	12	9	14	10.75	5.98	4.48	4.56	5.98	5.25		Bottom	0.071	0.091	0.101	0.091	0.0885	8	10	12	9	9.75	2.28	2.48	2.65	2.98	2.5975			Bottom	10.75	5.25	9.75	2.5975			Bottom	0.129		Bottom	0.0885			Bottom	8	12	9	14	5.98	4.48	4.56	5.98		8	10	12	9	2.28	2.48	2.65	2.98
A6	Top	1.382	0.872	0.819	0.212	0.82125	62	75	81	24	60.5	34.67	12.97	15.84	7.67	17.7875		Top	0.632	0.692	0.702	0.712	0.6845	60	75	75	78	72	12.67	13.67	12.77	12.27	12.845		A6	Top	60.5	17.7875	72	12.845		A6	Top	0.82125	A6	Top	0.6845		A6	Top	62	75	81	24	34.67	12.97	15.84	7.67		60	75	75	78	12.67	13.67	12.77	12.27
	Middle	0.272	0.252	0.222	0.142	0.222	34	26	35	14	27.25	8.43	8.43	8.08	4.63	7.3925		Middle	0.254	0.232	0.232	0.222	0.235	34	26	24	28	28	5.63	5.43	6.55	5.23	5.71			Middle	27.25	7.3925	28	5.71			Middle	0.222		Middle	0.235			Middle	34	26	35	14	8.43	8.43	8.08	4.63		34	26	24	28	5.63	5.43	6.55	5.23
	Left	0.181	0.281	0.261	0.151	0.2185	21	22	26	18	21.75	6.26	6.68	7.01	4.46	6.1025		Left	0.181	0.221	0.251	0.261	0.2285	28	22	30	36	29	4.46	5.26	6.46	5.26	5.36			Left	21.75	6.1025	29	5.36			Left	0.2185		Left	0.2285			Left	21	22	26	18	6.26	6.68	7.01	4.46		28	22	30	36	4.46	5.26	6.46	5.26
	Right	0.264	0.274	0.274	0.174	0.2465	30	25	24	17	24	8.87	7.97	7.27	5.01	7.28		Right	0.174	0.254	0.254	0.274	0.239	30	31	27	25	28.25	5.01	5.97	5.99	4.51	5.37			Right	24	7.28	28.25	5.37			Right	0.2465		Right	0.239			Right	30	25	24	17	8.87	7.97	7.27	5.01		30	31	27	25	5.01	5.97	5.99	4.51
	Bottom	0.066	0.114	0.124	0.054	0.0895	5	6	4	3	4.5	3.83	3.43	2.13	1.83	2.805		Bottom	0.066	0.064	0.074	0.084	0.072	6	8	11	9	8.5	1.83	2.43	2.68	2.03	2.2425			Bottom	4.5	2.805	8.5	2.2425			Bottom	0.0895		Bottom	0.072			Bottom	5	6	4	3	3.83	3.43	2.13	1.83		6	8	11	9	1.83	2.43	2.68	2.03
																																																																			
